date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-05-29,24,16,0.0,14.1,6,6,33,10:33 AM,No moonset,05:29 AM,07:42 PM,11,21,21,21,22,0,53,0.0,1014,24,10,183,16
2009-05-30,26,18,0.0,14.1,6,6,40,11:42 AM,12:17 AM,05:29 AM,07:43 PM,11,24,24,23,21,0,47,0.0,1015,26,10,185,12
2009-05-31,26,20,0.0,14.1,6,6,44,12:47 PM,12:49 AM,05:29 AM,07:43 PM,10,23,23,23,25,0,45,0.0,1013,26,10,146,15
2009-06-01,26,21,0.0,14.2,6,6,57,01:51 PM,01:19 AM,05:28 AM,07:44 PM,11,25,25,23,24,0,47,0.0,1012,26,10,185,15
2009-06-02,27,22,0.0,14.2,6,6,65,02:52 PM,01:48 AM,05:28 AM,07:45 PM,11,25,25,24,23,0,45,0.0,1010,27,10,182,14
2009-06-03,28,21,0.0,14.2,6,6,72,03:54 PM,02:16 AM,05:28 AM,07:45 PM,13,26,26,26,15,0,47,0.0,1010,28,10,178,10
2009-06-04,27,20,0.0,14.2,6,6,80,04:55 PM,02:47 AM,05:28 AM,07:46 PM,14,26,26,25,14,2,51,0.0,1012,27,10,226,10
2009-06-05,24,18,0.0,14.2,6,6,87,05:56 PM,03:22 AM,05:27 AM,07:46 PM,13,22,23,22,18,1,61,0.0,1012,24,10,243,13
2009-06-06,24,17,0.0,14.2,6,6,95,06:55 PM,04:01 AM,05:27 AM,07:47 PM,13,22,23,22,13,1,61,0.0,1010,24,10,188,10
2009-06-07,25,18,0.0,14.2,6,6,100,07:51 PM,04:45 AM,05:27 AM,07:47 PM,15,22,23,22,15,4,64,0.0,1008,25,10,163,11
2009-06-08,27,21,0.0,14.2,6,6,100,08:42 PM,05:34 AM,05:27 AM,07:48 PM,14,26,26,24,28,2,51,0.0,1008,27,10,152,17
2009-06-09,29,24,0.0,14.2,7,7,83,09:27 PM,06:27 AM,05:27 AM,07:48 PM,12,27,27,27,30,6,41,0.0,1009,29,10,155,16
